!exclamation-point|ʔ e k s k l ɐ m a ʃ o n p o ʔ ɪ n t
weisbecker|w e ɪ̯ s b e k e ɾ
weiskopf|w e ɪ̯ s k o p f
weldy|w e l d ɪ
wellek|w e l l e k
wellstone|w e l s t o n e
weltz|w e l t͡s
wenfan|w e n f ɐ n
wenrick|w e n ɾ ɪ k
wesche|w e s t͡ʃ e
wessell|w e s e l l
westpride|w e s t p ɾ i d e
wetlands'|w e t l ɐ n d s
weyand|w e j ɐ n d
whales(2)|w h ɐ l e s
what'll|w ɐ t l̪
wheaties|w e ɐ t i s
wheelbase|w e e l b ɐ s e
wheels(2)|w h e ʔ ɛ l s
whetsell|w e t͡ʃ e l l
whiff|w ɪ f f
whimpering(2)|w ɪ m p e ɾ ɪ ŋ k
whipps|w h ɪ p s
whisman|w ɪ s m a n
whistling(2)|w ɪ s t l i ŋ k
whitecotton|w ɪ t e x o t o n
whitehurst(2)|w ɪ t e h ʊ ɾ s t
whitesell|w ɪ t e s e l l
whitford(2)|w ɪ t f o ɾ d
whitman's|w ɪ t m a n s
whitsell|w ɪ t͡ʃ e l l
whittle(2)|w ɪ t l e ʔ
whoop|w h ʊ p
whopper(2)|ʔ u h o p p e ɾ
wiard|w ɪ ɐ ɾ d
wickes's|w ɪ k e s ɪ s
widen|w ɪ d e n
widower|w ɪ d o w e ɾ
wiedmeyer|w ɪ d m e j e ɾ
wienerschnitzel's|w i ɐ n e ɾ ʃ n ɪ t s e l s
wiggle|w ɪ ɡ ɡ l e
wilczek|w ɪ l t͡ʃ e k
wilfong|w ɪ l f o ŋ
willamette(2)|w ɪ l l ɐ m e t e
willhelm|w ɪ l l h e l m
willis's|w ɪ l l i s ɪ s
willyard|w ɪ l j a ɾ d
wilting|w ɪ l t i ŋ
wimpee|w ɪ m p e ʔ e
winder(2)|w ɪ n d e ɾ
windowpane|w ɪ n d o ʊ̯ p a n e
winema|w ɪ n e m ɐ
winny|w ɪ n n ɪ
winstead|w ɪ n s t e ɐ d
winward|w ɪ n w a ɾ d
wisecrack|w ɪ s e k ɾ a k
witbeck|w ɪ t b e k
withdrawing(2)|w ɪ θ d ɾ a w ɪ ŋ k w ɪ ŋ
wits|w ɪ t s
wittke|w ɪ t k e
woerner|w o e ɾ n e ɾ
wolfert|w o l f e ɾ t
wolken|w o l k e n
wolpe|w o l p e
wolz|w o l s
womer|w o m e ɾ
woodchips|w ʊ d t͡ʃ i p s
woodlot|w ʊ d l o t
woodward's|w ʊ d w ɐ ɾ d s
woollard|w ʊ l l a ɾ d
wop|w o p
workgroup|w ʊ ɾ k ɡ ɾ u p
worsham|w o ɾ s h ɐ m
wroe|w ɾ o e
wrung|w ɾ ʊ ŋ
wuli|w u l ɪ ʔ
wyffels|w ɪ f f e l s
wynn's|ʔ ʊ i n s
x.|ʔ ɪ k s
xoma's|ʃ o m ɐ s
yamane(2)|j ɐ m ɐ n e
yanda|j ɐ n d a ʔ
yanni|j a n ɪ
years'|j e ɐ ɾ s
yevette|j e b e t e
you'd(2)|j o ʊ d
yurick|j ʊ ɾ i k
zakarian|s ɐ x ɐ ɾ i ʔ ɐ n
zaloudek|s ɐ l o ʊ̯ d e k
zangari|s ɐ ŋ a ɾ ɪ ʔ
zapf|s ɐ p f
zavodny|s ɐ b o d n ɪ
zelek|s e l e k
zellman|s e l m ɐ n
zempel|s e m p e l
zewe|s e w e
ziahe|s ɪ ɐ h e
ziller|s ɪ l l e ɾ
zippering|s ɪ p e ɾ ɪ ŋ
zorana|s o ɾ a n ɐ
zubillaga|s ʊ b ɪ l j a ɰ ɐ
zwiefelhofer|s w i͜y f e l h o f e ɾ
zyuganov(4)|ʃ ʊ ɰ ɐ n o b
admiringly|ʔ ɐ d m ɪ ɾ i ŋ l ɪ
adss|ʔ ɐ d s
adusdur|ʔ ɐ d ʊ s d u ɾ
advantaged(4)|ʔ ɐ d b ɐ n t a ɰ e d
adventurers|ʔ ɐ d b e n t ʊ ɾ e ɾ s
advertised(2)|ʔ ɐ d b e ɾ t i s e d
advocate's|ʔ ɐ d b o x a t e s
aerostars|ʔ ɐ e ɾ o s t a ɾ s
affiliated(2)|ʔ ɐ f ɪ l j ɐ t e d
affixing|ʔ ɐ f f i k s ɪ ŋ
afghani|ʔ ɐ f ɡ h a n ɪ ʔ
agent's|ʔ ɐ ɰ e n t s
agoura|ʔ ɐ ɰ o ʊ ɾ ɐ
agriculturally(2)|ʔ ɐ ɡ ɾ ɪ x ʊ l t ʊ ɾ a l l ɪ
agrochemical|ʔ ɐ ɡ ɾ o t͡ʃ e m ɪ x a l
ahuja|ʔ ɐ h u h ɐ ʔ
aided(2)|ʔ ɐ ʔ ɪ d e d
aikens|ʔ ɐ ʔ ɪ x e n s
ailey|ʔ a ɪ̯ l e ɪ̯
ainge(2)|ʔ ɐ ʔ ɪ ŋ e
airbases|ʔ ɐ ʔ ɪ ɾ b a s e s
airliner's|ʔ ɐ ɾ l i n e ɾ s
airships|ʔ ɐ ʔ ɪ ɾ s h i p s
alacrity|ʔ ɐ l ɐ k ɾ i t ɪ
alair|ʔ ɐ l a ɪ̯ ɾ
alan's|ʔ ɐ l a n s
alcee|ʔ ɐ l s e ʔ e
alcoa's|ʔ ɐ l k o ɐ s
aldaco|ʔ ɐ l d a x o
aldermen|ʔ ɐ l d e ɾ m e n
aldred(2)|ʔ ɐ l d ɾ e d
alejandro(2)|ʔ ɐ l e h a n d ɾ o
alexine|ʔ ɐ l e k s i n e
alfieri|ʔ ɐ l f j e ɾ ɪ
algy|ʔ a l ɡ ɪ
allegis|ʔ ɐ l l e ɰ ɪ s
allenhurst|ʔ ɐ l l e ŋ h ʊ ɾ s t
allgeier|ʔ ɐ l l ɡ e j e ɾ
allison's|ʔ ɐ l l ɪ s o n s
almo|ʔ ɐ l m o
altman's|ʔ ɐ l t m a n s
altucher|ʔ ɐ l t u t͡ʃ e ɾ
aluminium(2)|ʔ ɐ l ʊ m i n ɪ ʊ̃ m
amcast|ʔ ɐ m k a s t
amell|ʔ ɐ m e l l
amiprilose|ʔ ɐ m ɪ p ɾ ɪ l o s e
amorette|ʔ ɐ m o ɾ e t e
amortized|ʔ ɐ m o ɾ t i s e d
amsbaugh|ʔ ɐ m s b a ʔ ʊ̯
anachronistic|ʔ ɐ n ɐ k ɾ o n i s t ɪ k
analyzing|ʔ ɐ n ɐ l ɪ s i ŋ
ancho|ʔ a n t͡ʃ o
ancients(2)|ʔ ɐ n ʃ e n t s
anderle|ʔ ɐ n d e ɾ l e
andiron|ʔ ɐ n d i ɾ o n
andreae|ʔ ɐ n d ɾ e ɐ ʔ e
angelicas|ʔ ɐ ŋ e l i x ɐ s
angeloff|ʔ ɐ ŋ e l o f
animal's|ʔ ɐ n ɪ m a l s
annexation|ʔ ɐ n e k s ɐ ʃ o n
anoint|ʔ ɐ n o ʔ ɪ n t
another's|ʔ ɐ n o t h e ɾ s
anschutz|ʔ ɐ n ʃ u t͡s
anspach|ʔ ɐ n s p a x
antibioticos|ʔ ɐ n t ɪ b ɪ o t ɪ x o s
antico|ʔ ɐ n t i x o
antidiscrimination(2)|ʔ ɐ n t ɪ d ɪ s k ɾ ɪ m ɪ n a ʃ o n
antisocial(2)|ʔ ɐ n t ɪ s o ʃ ɐ l
antle|ʔ ɐ n t l e
antonson|ʔ ɐ n t o n s o n
antsy|ʔ ɐ n t͡ʃ i
anwell|ʔ ɐ n w e l l
apc's|ʔ ɐ p s
aphrodite's|ʔ ɐ p h ɾ o d i t e s
appreciably|ʔ ɐ p ɾ e ʃ a b l ɪ
approaches(2)|ʔ ɐ p ɾ o ɐ t͡ʃ e s
arambula|ʔ ɐ ɾ ɐ m b u l ɐ
arbuthnot|ʔ ɐ ɾ b ʊ t h n o t
archambeault|ʔ ɐ ɾ t͡ʃ ɐ m b o l t
archuletta|ʔ ɐ ɾ t͡ʃ ʊ l e t ɐ
ardley|ʔ ɐ ɾ d l e ɪ̯
arenella's|ʔ ɐ ɾ e n e l l ɐ s
armey's|ʔ ɐ ɾ m e ɪ̯ s
arnst|ʔ ɐ ɾ n s t
arpa|ʔ a ɾ p ɐ
arseneau|ʔ ɐ ɾ s e n e a ʊ̯
arsonists(4)|ʔ ɐ ɾ s o n i s t s
arvind|ʔ ɐ ɾ b i n d
aschenbach|ʔ ɐ s t͡ʃ e n b ɐ x
asimow|ʔ ɐ s i m o ʊ̯
askew|ʔ ɐ s k e ʊ̯
aspersions|ʔ ɐ s p e ɾ ʃ o n s
associate's|ʔ ɐ s o ʃ a t e s
assuage|ʔ ɐ s w ɐ ɰ e
astra's|ʔ a s t ɾ ɐ s
atheistic|ʔ ɐ t h e ʔ ɪ s t ɪ k
athlone|ʔ ɐ t h l o n e
atlas's|ʔ ɐ t l a s ɪ s
atrocity|ʔ ɐ t ɾ o s i t ɪ
attaboys|ʔ ɐ t ɐ b o ɪ̯ s
attar|ʔ ɐ t a ɾ
attentions|ʔ ɐ t e n ʃ o n s
attitudinal|ʔ ɐ t ɪ t ʊ d i n ɐ l
auch|ʔ a ʊ̯ x
audiotex|ʔ a ʊ̯ d ɪ o t e k s
audran|ʔ a ʊ̯ d ɾ a n
augusta's|ʔ a ʊ̯ ɰ ʊ s t a s
aulana|ʔ ɐ ʔ ʊ l a n ɐ
austron|ʔ a ʊ̯ s t ɾ o n
autonomy(2)|ʔ a ʊ̯ t o n o m ɪ
avent|ʔ ɐ b e n t
averette|ʔ ɐ b e ɾ e t e
awestruck|ʔ ɐ w e s t ɾ u k
axton|ʔ ɐ k s t o n
aylmer|ʔ a ɪ̯ l m e ɾ
b-j|b i ʔ
babb|b ɐ b b
baetz|b ɐ ʔ e t͡s
bailing|b a ɪ̯ l ɪ ŋ
bakes|b ɐ x e s
balderrama|b ɐ l d e ɾ a m ɐ
baldrige|b ɐ l d ɾ i ɰ e
ballew|b ɐ l j e ʊ̯
balmorals|b ɐ l m o ɾ a l s
baltodano|b ɐ l t o d a n o
bancshares'|b ɐ ŋ k ʃ a ɾ e s
banet|b ɐ n e t
bankeast|b ɐ ŋ k e ɐ s t
bansal|b ɐ n s a l
barbanel|b ɐ ɾ b ɐ n e l
barczak|b ɐ ɾ t͡ʃ a k
bareis|b ɐ ɾ e ʔ ɪ s
barinco|b ɐ ɾ i ŋ k o
barloon|b ɐ ɾ l o ʔ o n
barnett's|b ɐ ɾ n e t s
barrick's|b ɐ ɾ i k s
bartek|b ɐ ɾ t e k
bartkowski|b ɐ ɾ t k o ʊ̯ s k i
bartosch|b ɐ ɾ t o s t͡ʃ
baryshnikov's|b ɐ ɾ ɪ s h n i x o b s
bashed|b ɐ s h e d
basie|b a s ɪ e
bassir|b ɐ s i ɾ
bates'|b ɐ t e s
battiato|b ɐ t͡ʃ a t o
baty|b a t ɪ
baucus|b a ʔ ʊ x ʊ s
baumgarten(2)|b a ʊ̯ m ɡ ɐ ɾ t e n
baybank|b a ɪ̯ b ɐ ŋ k
bayliff|b a ɪ̯ l ɪ f
beagley|b e ɐ ɡ l e ɪ̯
beary|b e ɐ ɾ ɪ
beatniks|b e ɐ t n i k s
beautifullest(2)|b e j ʊ t ɪ f ʊ l e s t
beckers|b e k e ɾ s
beckworth|b e k w o ɾ θ
beddow|b e d d o ʊ̯
bednarik|b e d n a ɾ ɪ k
bedsole|b e d s o l e
beecham|b e ʔ e t͡ʃ ɐ m
beem|b e ʔ e m
beesley|b e ʔ e s l e ɪ̯
began(2)|b e ɰ ɐ n
behm|b e h m
behrmann|b e h ɾ m ɐ n n
beilin|b e ɪ̯ l ɪ n
belding|b e l d ɪ ŋ
belie|b e l ɪ
bellm|b e l l m
belt's|b e l t s
bemuse|b e m ʊ s e
benbow|b e n b o ʊ̯
bendick|b e n d ɪ k
benedetti's|b e n e d e t ɪ s
benfield|b e ɱ f i e l d
bensman|b e n s m ɐ n
benyo|b e ɲ o
berating|b e ɾ a t ɪ ŋ
bergh|b e ɾ ɡ h
bergstrand|b e ɾ ɡ s t ɾ ɐ n d
berken|b e ɾ k e n
berlack|b e ɾ l ɐ k
berlusconi's|b e ɾ l ʊ s k o n i s
bernards|b e ɾ n a ɾ d͡ʒ
bernita|b e ɾ n i t ɐ
berquist|b e ɾ k ɪ s t
berstein|b e ɾ s t e ʔ ɪ n
bertrade|b e ɾ t ɾ a d e
bethea|b e t h e ɐ
beyl|b e ɪ̯ l
biamby's|b ɪ ɐ m b i s
bibler|b ɪ b l e ɾ
bicoastal|b ɪ x o ɐ s t a l
bidlack|b ɪ d l a k
biegler|b j e ɡ l e ɾ
biernacki|b ɪ e ɾ n a k ɪ
bihac's|b ɪ h a k s
bilking|b ɪ l k i ŋ
bioengineering|b ɪ o e ŋ ɪ n e ɾ ɪ ŋ
biopsies|b ɪ o p s i e s
birch's|b ɪ ɾ t͡ʃ
biter|b ɪ t e ɾ
blackening|b l ɐ k e n ɪ ŋ
blankenship|b l ɐ ŋ k e n ʃ ɪ p
blasi|b l a s ɪ ʔ
blasts|b l ɐ s t s
bleicher|b l e ɪ̯ t͡ʃ e ɾ
blinding|b l ɪ n d i ŋ
blitch|b l ɪ t͡ʃ
bloc's|b l o k s
bloxsom|b l o k s s o m
bluejay|b l ʊ e h a ɪ̯
bluing|b l ʊ ʔ i ŋ
bluntest|b l ʊ n t e s t
blye|b l j e
bobrowski|b o b ɾ o ʊ̯ s k i
boettger|b o e t ɡ e ɾ
boge|b o ɰ e
boggus|b o ɡ ɡ ʊ s
bohne|b o h n e
boitano|b o ɪ̯ t a n o
boldly|b o l d l ɪ
bolger's|b o l ɡ e ɾ s
bolivia's|b o l i b ɪ ɐ s
bonawitz|b o n a w ɪ t͡s
bonecutter|b o n e x ʊ t e ɾ
boogie-woogie(2)|b ʊ ɰ i ʔ uː ɰ i
bootlegging|b ʊ t l e ɡ ɡ i ŋ
borealis|b o ɾ e ɐ l i s
bosler(2)|b o s l e ɾ
bottel|b o t e l
bourcier|b o ʊ̯ ɾ ʃ e ɾ
bousquet|b o ʊ̯ s k e t
bovenzi|b o b e n s ɪ
bowses|b o ʊ̯ s e s
boxx|b o k s k s
bozos|b o s o s
brachfeld|b ɾ ɐ t͡ʃ f e l d
braddock|b ɾ ɐ d o k
bradtmiller|b ɾ ɐ d m i l j e ɾ
braggs|b ɾ ɐ ɡ s
brakebill|b ɾ ɐ x e b i l l
bramer|b ɾ ɐ m e ɾ
branched|b ɾ ɐ n t͡ʃ e d
brandname|b ɾ ɐ n d n a m e
brann|b ɾ a n n
branscum|b ɾ a n s k ʊ m
brashears|b ɾ ɐ s h e ɐ ɾ s
brawley|b ɾ a ʊ̯ l e ɪ̯
breitman|b ɾ e ɪ̯ t m a n
brendlinger(2)|b ɾ e n d l ɪ ŋ e ɾ
bricklin's|b ɾ ɪ k l i n s
briegel|b ɾ i e ɰ e l
briguglio|b ɾ ɪ ɰ ʊ ɡ l i o
brister|b ɾ ɪ s t e ɾ
brittingham|b ɾ ɪ t ɪ ŋ h a m
broc|b ɾ o k
broda|b ɾ o d ɐ
brodry|b ɾ o d ɾ ɪ
broken-wind|b ɾ o x e n w ɪ n d
bromfield's|b ɾ o m f i e l d s
brosz|b ɾ o s
broughman|b ɾ o ʊ̯ ɡ h m a n
brownlow|b ɾ a ʊ̯ n l o ʊ̯
brucks|b ɾ ʊ k s
brule|b ɾ u l e
brunke|b ɾ ʊ ŋ k e
bruse|b ɾ u s e
brusselmans|b ɾ ʊ s e l m ɐ n s
brys|b ɾ ɪ s
bubbly(2)|b ʊ b b l ɪ
buchler|b ʊ k l e ɾ
bucket(2)|b ʊ k e t
buckmaster|b ʊ k m a s t e ɾ
budka|b ʊ d k a ʔ
budzinski|b ʊ d͡z i n s k ɪ
buffett's|b ʊ f e t s
bugging|b ʊ ɡ ɡ i ŋ
buhrman|b ʊ h ɾ m a n
bukowski|b ʊ x o ʊ̯ s k i
bullock's|b ʊ l ɐ k s
bunde|b ʊ n d e
bungee|b ʊ ŋ e ʔ e
buntz|b ʊ n t͡s
burby|b ʊ ɾ b i
burdensome|b ʊ ɾ d e n s o m e
burger's|b ʊ ɾ ɡ e ɾ s
burgoyne|b ʊ ɾ ɡ o ɪ̯ n e
burkeen|b ʊ ɾ k e ʔ e n
burndy|b ʊ ɾ n d i
burnside's|b ʊ ɾ n s a ɪ̯ d e s
burrola|b ʊ ɾ o l ɐ
burtness|b ʊ ɾ t n e s
busam|b ʊ s a m
busing|b ʊ s i ŋ
buteau|b ʊ t e a ʊ̯
butler's|b ʊ t l e ɾ s
buzbee|b ʊ s b e ʔ e
byard(2)|b j ɐ ɾ d
byker|b ɪ x e ɾ
c5|s a ɪ̯ t ʃ i
cabriolet|k x ɐ b ɾ ɪ o l e t
caccia|k x a k ʃ ɐ
cackle|k x ɐ k l e
cadence|k x ɐ d e n s e
cadotte|k x ɐ d o t e
caffey|k x a f e ɪ̯
cail|k x a ɪ̯ l
calfee|k x ɐ l f e ʔ e
calif.|k x ɐ l i f
calills|k x ɐ l i l l s
calligraphic|k x ɐ l l ɪ ɡ ɾ a p h ɪ k
calmer(2)|k x ɐ l m e ɾ
caltrans|k x ɐ l t ɾ a n s
caluzzi|k x ɐ l ʊ s i ʔ
campisi|k x ɐ m p i s ɪ
camshafts|k x ɐ m ʃ a f t s
canadienne|k x ɐ n ɐ d͡ʒ e n e
cancino|k x ɐ n s i n o
cannonball|k x ɐ n n o m b ɐ l l
cantalupo|k x ɐ n t ɐ l u p o
cantin|k x ɐ n t i n
cantrelle|k x ɐ n t ɾ e l l e
capalbo|k x ɐ p a l b o
capitalist|k x ɐ p ɪ t a l ɪ s t
capriati's|k x ɐ p ɾ ɪ ɐ t i s
caravelle|k x ɐ ɾ ɐ b e l l e
cardiology|k x ɐ ɾ d͡ʒ o l o ɡ ɪ
careens|k x ɐ ɾ e ʔ e n s
carlisi|k x ɐ ɾ l i s ɪ
carlsen|k x ɐ ɾ l s e n
carmean|k x ɐ ɾ m e ɐ n
carmouche|k x ɐ ɾ m o ʊ̯ t͡ʃ e
carolina's|k x ɐ ɾ o l i n ɐ s
carosi|k x ɐ ɾ o s ɪ
carriero|k x ɐ ɾ j e ɾ o
carrollton|k x ɐ ɾ o l l t o n
carsten|k x a ɾ s t e n
carters|k x ɐ ɾ t e ɾ s
caruth|k x a ɾ ʊ tʰ
caseze's|k x ɐ s e s e s
casias|k x a s ɪ ɐ s
caspers|k x ɐ s p e ɾ s
cassone|k x ɐ s o n e
castigating|k x ɐ s t ɪ ɰ a t ɪ ŋ
castonguay|k x ɐ s t o ŋ w a ɪ̯
casualness|k x ɐ ʃ ʊ ɐ l n e s
catacosinos|k x ɐ t ɐ x o s i n o s
catawba|k x ɐ t a ʊ̯ b ɐ
catherina|k x ɐ t h e ɾ i n ɐ
caton|k x ɐ t o n
catterall|k x ɐ t e ɾ a l l
caul(2)|k x a ʊ̯ l
causalities|k x a ʊ̯ s ɐ l i t͡ʃ e s
cavness|k x ɐ b n e s
cedras's(2)|s e d ɾ ɐ s s
celo|s e l o
cemex|s e m e k s
cermak|s e ɾ m ɐ k
cestaro|s e s t a ɾ o
chafed|t͡ʃ a f e d
chaiken|t͡ʃ a ɪ̯ x e n
challis(2)|t͡ʃ ɐ l l ɪ s
chamblin|t͡ʃ ɐ m b l i n
champine|t͡ʃ ɐ m p i n e
chandley|t͡ʃ ɐ n d l e ɪ̯
chardonnays|t͡ʃ ɐ ɾ d o n a ɪ̯ s
charlayne|t͡ʃ ɐ ɾ l a ɪ̯ n e
chartist|t͡ʃ ɐ ɾ t i s t
chastain|t͡ʃ ɐ s t a ʔ ɪ n
chauffeur|t͡ʃ o f f e ʊ̯ ɾ
checkerspot|t͡ʃ e k e ɾ s p o t
cheesier|t͡ʃ e ʔ e s j e ɾ
chemed|t͡ʃ e m e d
cherumirdan|t͡ʃ e ɾ ʊ m i ɾ d ɐ n
chesterfield|t͡ʃ e s t e ɾ f i e l d
chevron's(2)|t͡ʃ e v ɾ o n s
chideya(2)|t͡ʃ ɪ d e j ɐ ʔ e
childcraft|t͡ʃ ɪ l d k ɾ a f t
chiles(2)|t͡ʃ ɪ l e s
chipley|t͡ʃ ɪ p l e ɪ̯
chokehold|t͡ʃ o x e h o l d
chordates|t͡ʃ o ɾ d a t e s
chowdhury|t͡ʃ o w d h ʊ ɾ ɪ
chromakalim|t͡ʃ ɾ o m ɐ x a l ɪ m
chronis|t͡ʃ ɾ o n ɪ s
chrystal|k x ɾ ɪ s t a l
churkin's|t͡ʃ ʊ ɾ k i n s
ciaramella|ʃ ɐ ɾ ɐ m e l l ɐ
cicippio|s ɪ s i p p ɪ o
cimo|s ɪ m o
ciocca|ʃ o k ɐ
circulations|s ɪ ɾ k ʊ l a ʃ o n s
ciresi|s ɪ ɾ e s ɪ
citrucel|s ɪ t ɾ u s e l
ciulla|ʃ ʊ l l a
claiborne's(2)|k x l ɐ ʔ ɪ b o ɾ n e s
clamps|k x l ɐ m p s
clapping|k x l ɐ p p i ŋ
claridge|k x l ɐ ɾ i d͡ʒ e
clark's|k x l ɐ ɾ k s
classifying|k x l ɐ s ɪ f j i ŋ
claunch|k x l a ʊ̯ n t͡ʃ
cleckley|k x l e k l e ɪ̯
clementson|k x l e m e n t͡ʃ o n
cliched|k x l ɪ t͡ʃ e d
clim|k x l ɪ m
clinic's|k x l ɪ n i k s
clodfelter|k x l o d f e l t e ɾ
clontz|k x l o n t͡s
clothestime|k x l o t e s t i m e
clowning|k x l o w n ɪ ŋ
cluj|k x l ʊ d͡ʒ
clutter|k x l ʊ t e ɾ
coalescing|k x o ɐ l e s s ɪ ŋ
coated(2)|k x o ɐ t e d
cochran's|k x o t͡ʃ ɾ ɐ n s
cockrum|k x o k ɾ ʊ m
coerce|k x o e ɾ s e
coffee(2)|k x o f e ʔ e
cogan|k x o ɰ ɐ n
cognac(2)|k x o ɡ n a k
cohr|k x o h ɾ
coinciding|k x o ɪ̯ n s ɪ d i ŋ
coleco's|k x o l e x o s
collings|k x o l l ɪ ŋ s
colonialist|k x o l o n ɪ ɐ l i s t
colorblind|k x o l o ɾ b l ɪ n d
coltsfoot|k x o l t͡ʃ f o ʔ o t
com's|k x o m s
combustable|k x u m b ʊ s t a b l e
comely|k x o m e l ɪ
comfed|k x u m f e d
communicating|k x u m m ʊ n ɪ k a t ɪ ŋ
comprises(2)|k x u m p ɾ ɪ s e s
concepts(2)|k x o n s e p t͡ʃ
concludes|k x o ŋ k l u d e s
concrete(2)|k x o ŋ k ɾ e t e
conditionally(2)|k x o n d ɪ ʃ o n a l l ɪ x
confectionary|k x o m f e k ʃ o n a ɾ ɪ
confound|k x o n f o ʊ̯ n d
congress'(2)|k x o ŋ ɡ ɾ e s s
conn.(2)|k x o n n o
conneely|k x o n n e e l ɪ
conoco|k x o n o x o
conservatism|k x o n s e ɾ b ɐ t i s m
consign|k x o n s i ɡ n
conspicuous|k x o n s p ɪ x w o ʊ s
construcciones|k x o n s t ɾ ʊ k ʃ o n e s
consummate(2)|k x o n s u m m ɐ t e
containerized|k x o n t ɐ ʔ ɪ n e ɾ i z e d
contests(6)|k x o n t e s t s
continual|k x o n t ɪ n w a l
contradictions|k x o n t ɾ ɐ d i k ʃ o n s
contretemps|k x o n t ɾ e t e m p s
cooner|k x u n e ɾ
cooperstein|k x o ʔ o p e ɾ s t e ʔ ɪ n
copayment|k x o p e ɪ̯ m e n t
coplen|k x o p l e n
coppernoll|k x o p p e ɾ n o l l
copycatting|k x o p ɪ x ɐ t i ŋ
coram|k x o ɾ ɐ m
corinna|k x o ɾ i n n ɐ
corleone(2)|k x o ɾ l e o n e
correlation|k x o ɾ ɾ e l a ʃ o n
corroborating|k x o ɾ ɾ o b o ɾ a t ɪ ŋ
cosmonauts|k x o s m o n a ʊ̯ t s
costar|k x o s t a ɾ
costliest|k x o s t l i e s t
cotham|k x o t h ɐ m
coughed|k x o ʊ̯ ɡ h e d
countermeasure(2)|k x o ʊ̯ n t e ɾ m e ʒ u ɾ e
courington|k x o ʊ̯ ɾ ɪ ŋ t o n
courtland|k x o ʊ ɾ t l ɐ n d
covello|k x o b e l l o
covering(2)|k x o b e ɾ ɪ ŋ
cowards|k x o w ɐ ɾ d s
cowlings|k x o w l ɪ ŋ s
coyly|k x o ɪ̯ l ɪ
crabill|k x ɾ a b ɪ l l
craig's|k x ɾ a ɪ̯ ɡ s
crandall|k x ɾ ɐ n d a l l
crannell|k x ɾ ɐ n e l l
crass|k x ɾ ɐ s
craziness|k x ɾ ɐ s i n e s s
credence|k x ɾ e d e n s e
creditor(2)|k x ɾ e d ɪ t o ɾ
creviston|k x ɾ e b ɪ s t o n
criddle|k x ɾ ɪ d l e
criminalist|k x ɾ ɪ m ɪ n a l ɪ s t
crissinger|k x ɾ ɪ s ɪ ŋ e ɾ
crofoot|k x ɾ o f o ʔ o t
crone|k x ɾ o n e
croshaw|k x ɾ o s h a ʊ̯
crotts|k x ɾ o t s
crowborough|k x ɾ o w b o ɾ o ʊ̯
crumbled|k x ɾ u m b l e d
crunchy|k x ɾ ʊ n t͡ʃ i
cuddy|k x ʊ d d͡ʒ i
culhane|k x ʊ l h a n e
cullinet|k x ʊ l l ɪ n e t
cultist(2)|k x ʊ l t i s t
cumings|k x u m ɪ ŋ s
cuong|k w ʊ ŋ
curcio|k x ʊ ɾ ʃ o
curry(2)|k x ʊ ɾ ɾ ɪ ʔ
curto|k x u ɾ t o
cuso's|k x ʊ s o s
customizing|k x ʊ s t o m i s ɪ ŋ
cwiertnia|k w i e ɾ t n j ɐ
cybercash|s ɪ b e ɾ k a s h
cylinder(2)|s ɪ l i n d e ɾ
cynth|k x ɪ n θ
czaplicki|t͡ʃ ɐ p l i t͡s k ɪ
d'america|d ɐ m e ɾ i x ɐ
dacosta|d ɐ x o s t ɐ
dagen|d ɐ ɰ e n
daigre|d ɐ ʔ i ɡ ɾ e
daleiden|d ɐ l e ɪ̯ d e n
dallman|d ɐ l m a n
dalpe|d a l p e
damaged(2)|d ɐ m ɐ ɰ e d
dana's|d ɐ n a s
dannels|d ɐ n e l s
daoust|d ɐ ʔ o ʊ s t
dapuzzo|d ɐ p u s o
darco|d a ɾ k o
darken|d a ɾ k e n
darroch|d ɐ ɾ o x
dasa|d a s ɐ
dashboards|d ɐ ʃ b o ɾ d͡z
dataproducts'(2)|d ɐ t ɐ p ɾ o d ʊ k t s
datsun(2)|d ɐ t͡ʃ u n
dauer|d a ʊ̯ e ɾ
dawn's|d a ʊ̯ n s
dayle|d a ɪ̯ l e
dazzle|d ɐ s l e
deadlier|d e ɐ̯ d l j e ɾ
deal's|d e ɐ l s
dearborn|d͡ʒ ɐ ɾ b o ɾ n
deavers|d e ɐ b e ɾ s
debes|d e b e s
debo|d e b o
deborah's|d e b o ɾ ɐ h s
debt's|d e b t s
debussy's(2)|d e b ʊ s i s
decaire|d e x a ɪ̯ ɾ e
dechert|d e t͡ʃ e ɾ t
deciphered|d e s ɪ p h e ɾ e d
declerk's|d e k l e ɾ k s
deconcini|d e x o n s i n ɪ
decorators|d e x o ɾ a t o ɾ s
dedeaux|d e d o
dedic|d e d ɪ k
dedominicis|d e d o m ɪ n i s ɪ s
deflationary|d e f l ɐ ʃ o n a ɾ ɪ
defterios|d e f t e ɾ ɪ o s
degenhardt|d e ɰ e ŋ h a ɾ t
degrange|d e ɡ ɾ a ŋ e
deibel|d e ɪ̯ b e l
dejongh|d e h o ŋ h
dekoning|d e x o n ɪ ŋ
delacy|d e l a s ɪ
delavan|d e l a b ɐ n
delcine|d e l s i n e
deliverer|d e l ɪ b e ɾ e ɾ
dellolio|d e l l o l ɪ o
deltacorp|d e l t ɐ x o ɾ p
demagogic|d e m ɐ ɰ o ɰ ɪ k
demaria|d e m a ɾ ɪ ɐ
dembski|d e m b s k ɪ
